OID_,COLLEGE,CAMPUS,ADDRESS,CITY,ZIPCODE,PLUS_FOUR,GEOG_TOWN,MAIN_TEL,NCES_ID,TYPE,NCES_TYPE,CATEGORY,DEGREEOFFR,AWARDSOFFR,LARGEPROG,CAMPUSSETT,CAMPUSHOUS,lon,lat
33,Westfield State University, ,577 Western Avenue,Westfield,1086,1630,WESTFIELD,(413) 572-5300,168263,PUB,"4-year, Public",State University,"B, PBC, M, PMC",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Education,Suburb: Large,Yes,-72.7955475,42.1324692
34,College of Our Lady of the Elms, ,291 Springfield Street,Chicopee,1013, ,CHICOPEE,(413) 594-2761,167394,PRI,"4-year, Private not-for-profit",Liberal Arts College,"C, A, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - professional practice, ,Suburb: Large,Yes,-72.6003494,42.1416893
35,DiGrigoli School of Cosmetology, ,1578 Riverdale Street,West Springfield,1089, ,WEST SPRINGFIELD,(413) 827-0037,451255,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",Suburb: Large,No,-72.6302948,42.1463814
36,Monarch School of Cosmetology, ,"2701 Boston Road, Suite 2",Wilbraham,1095, ,WILBRAHAM,(413) 599-4600, ,PRI,"< 2-year, Private for-profit",Private Vocational School,C, ,Cosmetology,Town: Fringe,No,-72.4298935,42.1506615
37,Mafy's Nails Academy, ,2071 Main Street,Brockton,2301, ,BROCKTON,(781) 767-1111, ,PRI,"< 2-year, Private for-profit",Private Vocational School,C, ,Cosmetology,Suburb: Large,No,-71.0117722,42.0438538
38,Signature Healthcare Brockton Hospital School of Nursing, ,53 Adams Street,Brockton,2302, ,BROCKTON,(508) 941-7040,165060,PRI,"2-year, Private not-for-profit",Medical Program,C,Two but less than 4 years certificate,Registered Nursing/Registered Nurse,Suburb: Large,No,-70.992836,42.0880089
39,Tri County Regional Vocational Technical High School Adult Education, ,147 Pond Street,Franklin,2038, ,FRANKLIN,(508) 528-5400,459408,PUB,"< 2-year, Public",Adult Education,C,One but less than two years certificate,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",Suburb: Large,No,-71.4214935,42.0950089
40,Springfield College,Main Campus,263 Alden Street,Springfield,1109, ,SPRINGFIELD,(413) 748-3000,167899,PRI,"4-year, Private not-for-profit",Private College,"B, M, PMC, D",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,-72.5566483,42.1021729
41,Cambridge College,Springfield,1500 Main Street,Springfield,1115, ,SPRINGFIELD,(413) 747-0204,165167,PRI,"4-year, Private not-for-profit",Private College,"C, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship, ,City: Midsize,No,-72.5919189,42.102417
42,Springfield Technical Community College, ,1 Armory Square,Springfield,1102,9000,SPRINGFIELD,(413) 781-7822,167905,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,City: Midsize,No,-72.5784836,42.1088028
43,University of Massachusetts Nantucket Field Station,Nantucket Field Station,180 Polpis Road,Nantucket,2554, ,NANTUCKET,(508) 228-9475,166638,PUB,"4-year, Public",University of Massachusetts,"M, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Intercampus Marine Science Graduate Program,City: Large,Yes,-70.0404892,41.2960205
44,University of Massachusetts Dartmouth School for Marine Science and Technology,New Bedford - West,706 South Rodney French Boulevard,New Bedford,2744,1221,NEW BEDFORD,(508) 999-8193,167987,PUB,"4-year, Public",University of Massachusetts,"C, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Marine Science & Technology,Suburb: Midsize,Yes,-70.9102783,41.5951042
45,University of Massachusetts Dartmouth,Dartmouth,285 Old Westport Road,North Dartmouth,2747,2300,DARTMOUTH,(508) 999-8000,167987,PUB,"4-year, Public",University of Massachusetts,"C, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,Suburb: Midsize,Yes,-71.0055542,41.629921
46,Bristol Community College,New Bedford,800 Purchase Street,New Bedford,2740, ,NEW BEDFORD,(508) 984-8226,165033,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-70.925621,41.6352501
47,Cape Cod Community College,Satellite Campus Hyannis,540 Main Street,Hyannis,2601,1599,BARNSTABLE,(508) 362-2131,165194,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;Associate's degree, ,City: Small,No,-70.2893982,41.6509361
48,University of Massachusetts School of Law,UMass Dartmouth,333 Faunce Corner Road,North Dartmouth,2747, ,DARTMOUTH,(508) 999-8000,167987,PUB,"4-year, Public",University of Massachusetts,D,Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Law,Suburb: Midsize,No,-70.9880905,41.6613655
49,Rob Roy Academy,New Bedford,1872 Acushnet Avenue,New Bedford,2720, ,NEW BEDFORD,(508) 995-8711,167039,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",Suburb: Midsize,No,-70.9251785,41.6719131
50,University of Massachusetts Dartmouth Center for Innovation and Entrepreneurship,Fall River,151 Martine Street,Fall River,2723, ,FALL RIVER,(508) 910-9800,167987,PUB,"4-year, Public",University of Massachusetts,"C, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Innovation & Entrepreneurship,Suburb: Midsize,Yes,-71.1273956,41.6803703
51,Mount Holyoke College, ,50 College Street,South Hadley,1075, ,SOUTH HADLEY,(413) 538-2000,166939,PRI,"4-year, Private not-for-profit",Women's Liberal Arts College,"B, PBC, M",Bachelor's degree;Master's degree, ,Suburb: Large,Yes,-72.5756912,42.2566261
52,Laboure College of Healthcare, ,303 Adams Street,Milton,2186, ,MILTON,(617) 202-3149,165264,PRI,"4-year, primarily associate's, Private not-for-profit",Medical Program,"C, A, B",Less than one year certificate;Associate's degree;Bachelor's degree, ,Suburb: Large,No,-71.0582962,42.2608452
53,Rob Roy Academy,Worcester,150 Pleasant Sreett,Worcester,1609, ,WORCESTER,(508) 799-2111,373696,PRI,"< 2-year, Private for-profit",Private Vocational School,C,Less than one year certificate;One but less than two years certificate,"Cosmetology/Cosmetologist, General",City: Midsize,No,-71.807663,42.2636375
54,New England School of Acupuncture at MCPHS,Worcester,19 Norwich Street,Worcester,1608, ,WORCESTER,(508) 373-5607,166656,PRI,"4-year, Private not-for-profit",Graduate Medical Program,"C, M, D",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degre,Accupuncture,City: Midsize,No,-71.800621,42.2639656
55,Massachusetts College of Pharmacy and Health Science,Worcester,19 Foster Street,Worcester,1608, ,WORCESTER,(508) 373-5607,166656,PRI,"4-year, Private not-for-profit",Medical School,"C, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degre,Pharmacy/Health Science,City: Midsize,Yes,-71.8004761,42.2643585
56,Worcester State University, ,486 Chandler Street,Worcester,1602,2597,WORCESTER,(508) 929-8000,168430,PUB,"4-year, Public",State University,"B, PBC, M, PMC",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Education,City: Midsize,Yes,-71.8422089,42.2686691
57,Bancroft School of Massage Therapy, ,333 Shrewsbury Street,Worcester,1604, ,WORCESTER,(508) 757-7923,164599,PRI,"< 2-year, Private for-profit",Medical Program,C,Less than one year certificate,Massage Therapy/Therapeutic Massage,City: Midsize,No,-71.7782211,42.2690315
58,Eastern Nazarene College, ,23 East Elm Avenue,Quincy,2170, ,QUINCY,(617) 745-3000,165644,PRI,"4-year, Private not-for-profit",Liberal Arts College,"A, B, M",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree, ,Suburb: Large,Yes,-71.0110092,42.2711906
59,Worcester Polytechnic Institute, ,100 Institute Road,Worcester,1609, ,WORCESTER,(508) 831-5000,168421,PRI,"4-year, Private not-for-profit",Research University,"B, PBC, M, D",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,Technical Program,City: Midsize,Yes,-71.809639,42.2737999
60,University of Massachusetts Chan Medical School,Worcester,55 Lake Avenue North,Worcester,1655, ,WORCESTER,(508) 856-1542,166708,PUB,"4-year, Public",University of Massachusetts,"M, PMC, D",Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Medicine & Biomedical Science,City: Midsize,No,-71.7617645,42.2776108
61,Toni & Guy Hairdressing Academy,Worcester,6 Park Avenue,Worcester,1605, ,WORCESTER,(508) 756-6060,434344,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",City: Midsize,No,-71.8081894,42.2847748
62,Spa Tech Institute,Westboro,227 Turnpike Road,Westboro,1581, ,WESTBOROUGH,(508) 836-8864,445647,PRI,"< 2-year, Private for-profit",Private Vocational School,C,Less than one year certificate,Aesthetician/Esthetician and Skin Care Specialist,Suburb: Large,No,-71.6357346,42.286129
63,Massachusetts Bay Community College,Framingham,19 Flagg Drive,Framingham,1702,5928,FRAMINGHAM,(508) 270-4000,166647,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-71.4140625,42.29216
64,Wellesley College, ,106 Central Street,Wellesley,2481,8203,WELLESLEY,(781) 283-1000,168218,PRI,"4-year, Private not-for-profit",Women's Liberal Arts College,B,Bachelor's degree, ,Suburb: Large,Yes,-71.3058014,42.293499
65,Franklin W. Olin College of Engineering, ,1000 Olin Way,Needham,2492,1245,NEEDHAM,(781) 292-2300,441982,PRI,"4-year, Private not-for-profit",Private College,B,Bachelor's degree,Engineering,Suburb: Large,Yes,-71.2639542,42.2934456
66,Assumption University, ,500 Salisbury Street,Worcester,1609,1296,WORCESTER,(508) 767-7000,164562,PRI,"4-year, Private not-for-profit",Liberal Arts College,"C, A, B, PBC, M, PMC",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate, ,City: Midsize,Yes,-71.8289795,42.2941742
67,William James College, ,1 Wells Avenue,Newton,2459, ,NEWTON,(617) 327-6777,166717,PRI,"4-year, Private not-for-profit",Private College,"B, PBC, M, D",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - professional practice,Psychology,City: Small,No,-71.2032928,42.2950478
68,Framingham State University, ,100 State Street,Framingham,1701,9101,FRAMINGHAM,(508) 620-1220,165866,PUB,"4-year, Public",State University,"B, PBC, M",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Education,City: Small,Yes,-71.4360809,42.2980042
69,Babson College, ,231 Forest Street,Wellesley,2457,310,WELLESLEY,(781) 235-1200,164580,PRI,"4-year, Private not-for-profit",Business School,"B, M, PMC",Bachelor's degree;Postbaccalaureate certificate;Master's degree,Business,Suburb: Large,Yes,-71.2661972,42.2979469
70,Jupiter Beauty Academy, ,95 Freeport Street,Boston,2122,2834,BOSTON,(617) 288-1811,484057,PRI,"< 2-year, Private for-profit",Private Vocational School,C,Less than one year certificate;One but less than two years certificate,Nail Technician/Specialist and Manicurist,City: Large,No,-71.0565567,42.3063049
71,Massachusetts Bay Community College,Wellesley Hills,50 Oakland Street,Wellesley Hills,2481, ,WELLESLEY,(781) 239-3000,166647,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-71.263649,42.3119926
72,Quinsigamond Community College, ,670 West Boylston Street,Worcester,1606, ,WORCESTER,(508) 854-4262,167534,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,City: Midsize,No,-71.7949295,42.3137665
73,University of Massachusetts Boston,Boston,100 Morrissey Boulevard,Boston,2125,3393,BOSTON,(617) 287-5000,166638,PUB,"4-year, Public",University of Massachusetts,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Large,Yes,-71.0397415,42.3143082
74,Hellenic College-Holy Cross Greek Orthodox School of Theology, ,50 Goddard Avenue,Brookline,2445, ,BROOKLINE,(617) 731-3500,166054,PRI,"4-year, Private not-for-profit",Liberal Arts College,"B, M",Bachelor's degree;Postbaccalaureate certificate;Master's degree,Greek Orthodox Studies,Suburb: Large,Yes,-71.1292496,42.3170319
75,Empire Beauty School,Boston,30 West Street,Boston,2111, ,BOSTON,(508) 370-7447,164845,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",City: Large,No,-71.0627136,42.354599
76,Fisher College, ,118 Beacon Street,Boston,2116, ,BOSTON,(617) 236-8800,165802,PRI,"4-year, Private not-for-profit",Liberal Arts College,"C, A, B, M",One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree, ,City: Large,Yes,-71.0739822,42.3552856
77,Suffolk University, ,73 Tremont Street,Boston,2108, ,BOSTON,(617) 573-8000,168005,PRI,"4-year, Private not-for-profit",Research University,"C, A, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - profe, ,City: Large,Yes,-71.0608139,42.3578148
78,Massachusetts Institute of Technology, ,77 Massachusetts Avenue,Cambridge,2139,4307,CAMBRIDGE,(617) 253-1000,166683,PRI,"4-year, Private not-for-profit",Research University,"B, M, D",Bachelor's degree;Master's degree;Doctor's degree - research/scholarship, ,City: Midsize,Yes,-71.0919571,42.3597069
79,North Bennet Street School, ,150 North Street,Boston,2109, ,BOSTON,(617) 227-0155,167297,PRI,"2-year, Private not-for-profit",Technical Institute,C,One but less than two years certificate;Two but less than 4 years certificate,Furniture Design and Manufacturing,City: Large,No,-71.0545502,42.3628387
80,Brandeis University, ,415 South Street,Waltham,2454,9110,WALTHAM,(781) 736-2000,165015,PRI,"4-year, Private not-for-profit",Research University,"B, M, PMC, D",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship, ,City: Small,Yes,-71.2600632,42.3657646
81,Harvard University,Business School,117 Western Ave/Soldiers Field,Boston,2163, ,BOSTON,(617) 495-6128,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,-71.1227798,42.3663902
82,NV My Hair Academy, ,296 Newton Street,Waltham,2453, ,WALTHAM,(617) 834-3333, ,PRI,"< 2-year, Private for-profit",Private Vocational School,C, ,Cosmetology,City: Small,No,-71.2309952,42.3670883
83,Assabet After Dark, ,215 Fitchburg Street,Marlborough,1752, ,MARLBOROUGH,(508) 263-9651,164535,PUB,"< 2-year, Public",Adult Education,C,One but less than two years certificate,Licensed Practical/Vocational Nurse Training,Suburb: Large,No,-71.566803,42.3678322
84,Cambridge College,Main Campus,500 Rutherford Avenue,Boston,2129, ,BOSTON,(800) 877-4723,165167,PRI,"4-year, Private not-for-profit",Private College,"C, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship, ,City: Large,No,-71.0729599,42.3813972
85,Cambridge College,Lawrence,280 Merrimack Street,Lawrence,1843, ,LAWRENCE,1 (800) 877-4723,165167,PRI,"4-year, Private not-for-profit",Private College,"C, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,Education,City: Midsize,No,-71.1484756,42.7031441
86,Hult International Business School, ,1 Education Street,Cambridge,2141, ,CAMBRIDGE,(617) 746-1990,164368,PRI,"4-year, Private not-for-profit",Business School,"B, M",Bachelor's degree;Master's degree,Business,City: Midsize,Yes,-71.0707016,42.3700027
87,Harvard University,School of Government,"79 JFK Street
",Cambridge,2138, ,CAMBRIDGE,(617) 495-1100,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,-71.1220245,42.3709869
88,Amherst College, ,220 South Pleasant Street,Amherst,1002,5000,AMHERST,(413) 542-2000,164465,PRI,"4-year, Private not-for-profit",Liberal Arts College,B,Bachelor's degree, ,Suburb: Large,Yes,-72.5187988,42.3694344
89,MGH Institute of Health Professions, ,36 1st Avenue,Boston,2129, ,BOSTON,(617) 726-3140,166869,PRI,"4-year, Private not-for-profit",Medical School,"B, M, PMC, D",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree - other, ,City: Large,No,-71.0539169,42.3749466
90,Blackstone Valley Vocational Regional School Post-Secondary Nursing Program, ,65 Pleasant Street,Upton,1568, ,UPTON,(508) 529-2403,457615,PUB,"< 2-year, Public",Medical Program,C,One but less than two years certificate,Licensed Practical/Vocational Nurse Training,Suburb: Large,No,-71.6164398,42.1628838
